"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Australia","AUS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","12784186359.0548","13631985664.6881","14138201366.3344","15072236532.6464","16343375517.9751","17873222085.3399","19247396124.986","20921715757.6436","23002575876.3579","24979280994.5123","27785866278.4186","30889237316.6088","35893691588.785","44042280589.3658","60418570375.829","70685511402.4307","77359132736.6696","81805459967.8825","89646965937.2885","99811427922.2992","109642339832.869","130517821897.132","143165618448.637","137721104351.895","145311537764.898","133706374165.836","137215304980.414","143284145050.291","173096623981.374","215107890236.951","225017314351.674","245254689584.805","253324617395.986","240404019111.861","245044621238.326","278793436293.436","302639605462.822","325093911410.236","299925388319.881","296245770146.635","314953212334.359","289207899538.478","298019045625.785","354948747815.958","462688149096.6","521317846940.31","553660527103.923","631914893617.021","778718889883.617","671658813135.032","850186734783.758","1012941930395.35","1121053825531.04","1156923155842.82","1081270540714.22","1017223562692.4","929948318532.538","1002555999698.32","1078023409038.06","",
"Austria","AUT","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","10651480285.7899","12422926368.5428","15172431156.6165","20296424555.4853","24362060144.2874","29410477285.2967","31918579888.011","38658675131.1298","45784318108.5947","54189754709.2126","60713814188.4705","53576120442.3708","54166552633.7017","55688392599.9694","51780269101.1622","52919495411.0136","74951989184.3173","93792272094.0357","99719460715.4798","98675790743.6297","122942460970.592","127819047495.58","145479171049.336","143401785993.139","152935338633.9","179641367544.698","178113244086.301","158237535235.089","161200500222.321","159578414660.132","143833922977.704","144228975391.499","154439855072.464","191202832957.111","218917792401.291","231154246984.206","243510048927.362","275040131398.85","305928079683.609","296790900250.069","289978933602.549","315909043354.915","300192651688.093","316439427074.966","323538059575.553","276602452379.576","283878592839.472","298239203437.433","322896400754.056","",
"Azerbaijan","AZE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6217522654.1318","6171437903.2973","4070869259.70231","3805437987.74312","3349910877.13978","2965205117.79453","3167170425.48245","3450690087.82936","4231198404.98255","4186723838.03244","4194983241.24422","4288843552.02405","4695844476.44518","5264610059.05111","5964485600.89549","6959699598.05373","9577233042.31027","14232024239.5991","20484177215.1899","23864269718.8355","26580416095.6771","31251994428.2639","34839867617.1079","38703632887.1893","42380211653.7039","36673531134.1011","27090618537.3191","28167731815.0128","29737000000","",
"Burundi","BDI","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","185499996","192499998","204750008","234499994","241499996","153302518.518519","157914285.714286","168016000","173822857.142857","179073142.857143","233997714.285714","248109714.285714","247196571.428571","295224052.183041","351230476.190476","434231111.111111","420781449.275362","484565555.555556","576552222.222222","732755555.555556","925216666.666667","929201111.111111","1035898888.88889","1005771920.38731","924731434.299557","1102818748.03215","1189088039.76526","1056578768.20978","1064298996.40301","1077552518.79723","1192841084.93183","1216172324.84726","1192310456.40245","997193202.635914","1028965790.79644","1080347659.33424","884009691.494632","958376614.162055","935500210.154505","828305770.459224","932592161.599623","930606970.915879","894344321.112497","837576963.385121","982286417.509152","1167383132.70657","1391633734.60994","1492003057.29978","1818006094.00022","1846035358.10067","2091872318.65362","2438257395.50588","2519406302.47813","2789460589.69676","3014243285.34021","3037202852.11836","2990206794.07627","","","",
"Belgium","BEL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","18335731827.3497","20898552668.3661","26252786270.736","34008045435.7276","39768032207.9536","48914733903.6964","52950053396.0293","62862652335.3967","77373584091.2002","90617776141.9923","99377520347.6342","85018974358.9744","75199248896.3447","71351410729.783","67224731080.7037","69806004212.2427","95897808650.894","118624154619.125","124504360833.79","123859819512.695","154338189642.685","160866580271.707","178114149560.853","170145428871.269","184079564383.892","216339764641.489","212436351791.531","189270072169.599","193558124027.562","191215214148.732","175055371291.69","176149619686.801","191118577075.099","235862528216.704","270015768562.205","281709861957.468","296653368460.67","338458527237.887","382671305112.055","368612809113.643","365132962313.629","397851685330.846","379282059449.198","398948731213.811","403454954383.817","341372639872.3","350334616662.585","367148463872.853","395503411557.653","",
"Benin","BEN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","213906329.694191","222187328.065185","227419484.772088","246771978.528784","264125062.442047","286605624.561078","304655655.116608","307083356.199103","317731952.091716","320799630.790204","325928846.311782","334272715.91555","406442394.801204","490315140.437491","537719935.672216","674045197.932556","708081743.708425","756432224.55905","947013930.945302","1191963465.86336","1494471312.42202","1450594198.6851","1200723742.05851","1100736544.58808","1036126195.79926","1088126870.89745","1369172271.39359","1605474296.64141","1663119884.2229","1494668294.524","1828593079.60486","1884368723.70013","1638375444.9581","2147066590.36186","1437376833.08517","1901515300.05906","2029828328.04616","1946531713.50083","2142131843.1438","2431220055.38095","2315947876.35487","2426202716.50125","2728166703.5396","3459220513.13463","3915501638.51014","4330119679.27539","4670962406.82316","5285991017.94658","6449008084.54031","6391545032.11974","6293246001.73236","6929720104.9196","7168473524.71593","7814347016.43592","8134866458.33965","7097478313.87126","7657052838.05519","8244276634.76005","8601319728.65696","",
"Burkina Faso","BFA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","315786758.381387","331867484.356404","358721304.677532","371707545.171485","378682853.855757","386076149.642803","398975005.535692","425164842.892851","432533964.064329","450435289.207399","428139408.349617","444753499.101528","520904996.516254","594598776.701059","618140782.934767","857887305.897125","856232714.822825","1073247844.7539","1387619792.62221","1691370478.59738","1917942813.19295","1781259326.67333","1706996708.82655","1542516456.46686","1394853784.5635","1523793190.13433","2033126935.75247","2310581516.72093","2546542361.84741","2471391686.48329","2933083021.04533","2873442639.29737","2047123046.89864","2151580449.16345","1585596859.42804","2106849520.904","2382429900.82736","2163729433.77354","2556641362.50476","2884325825.16129","2507431977.55961","2815477087.49268","3044788993.55828","3869486990.97368","4490589167.05535","5023067745.70822","5443445955.46942","6234914714.5003","7613310430.51756","7544862598.69518","7496699826.5617","8598500718.74203","8842386623.55044","9848726823.73897","10292236279.2391","8951448940.27301","9242106026.86438","10200794658.2909","11623550554.796","",
"Bangladesh","BGD","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","3950698947.20869","4489417884.13917","4475248176.36879","4884175826.7891","4961540719.54879","5447549471.0734","6011489782.00185","6715423337.36849","6669514464.19241","7709545047.87287","8349716501.60606","8419996582.14722","6499539250","7812086852.58964","12421446497.6149","19265059553.8531","10418476781.1448","9054464725.27473","13066123055.5556","15329624763.4691","17766087086.5633","17244859241.1261","15787175648.7026","15487373737.3737","17638560000","19044846153.8462","18461933333.3333","20872387096.7742","22916762260.1539","24382929507.9723","26572217612.567","26445994397.7591","27312625994.695","29087275132.2751","29343665835.4115","32959477611.9403","38813105134.4743","39975222482.4356","40669581497.7974","41668760399.3344","42685807990.4592","42852075611.5641","43320163677.5205","48015474956.8221","51313402412.0944","54821235772.3577","56423504484.8124","63094504216.6232","74047774694.6509","81641583084.311","91289473949.6381","102110115363.168","105052641755.659","116938413682.408","134695157648.24","151852227932.064","166110657512.928","186470677451.972","211451913382.72","",
"Bulgaria","BGR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","13695692307.6923","12596857142.8571","12534400000","11001222222.2222","11421166666.6667","11701631578.9474","13680411764.7059","19370923076.9231","14867294117.6471","15090388888.8889","16097272727.2727","8004354838.70968","8896391752.57732","10000797101.4493","8846439114.39114","13830357142.8571","10778527262.507","8779356679.9453","11190979322.8812","11546661587.8544","11331983233.6457","12373048931.2034","14221088107.8479","18467305361.5744","22747571582.7567","25734705546.0263","28977554030.6548","37839888033.5899","45042252467.8433","41356792493.0689","40630634899.1471","44874511198.0092","43785808147.1748","44088422909.8806","45109483109.4831","39490081614.1465","40751923076.9231","44394756554.3071","51084852142.4261","",
"Bahrain","BHR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1382860705.7575","1639095744.68085","1878190957.44681","1957712765.95745","2139361968.08511","1914361702.12766","1815425531.91489","2020744680.85106","2293882978.7234","2486170212.76596","2648670212.76596","3786968085.10638","3940691489.3617","4084840425.53191","4073138297.87234","4321276595.74468","4508244680.85106","4633776595.74468","4814627659.57447","5044148936.17021","5134957446.80851","5597174468.08511","5937713563.82979","6244367287.23404","6782777127.65957","8500035638.29787","8778670212.76596","9498803191.48936","11712765957.4468","12590425531.9149","13913829787.234","15227127659.5745","16434680851.0638","18327101063.8298","18905132978.7234","19515319148.9362","19975957446.8085","20771329787.234","22308510638.2979","",
"Bahamas, The","BHS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","506100000","611900000","894800000","990900000","1086200100","1141100000","1232300000","1599600000","1747700000","1870800000","2054100000","","2329790000","2396180000","2491670000","2435600000","2459830000","2613740000","2810110000","3030110000","4394100000","4787200000","5163200000","5374500000","5838100000","5886400000","5998700000","6203600000","6804800000","7297100000","7487300000","7625000000","7313200000","7491000000","7726900000","8217700000","8063300000","8454000000","9171600000","9034800000","9854500000","","",
"Bosnia and Herzegovina","BIH","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11911667301.5873","13033612259.1721","14385802065.2941","17003887333.7999","20643563511.0845","19141939768.4495","18530631814.1803","20017356599.6162","18836203521.2193","19585119815.3554","19882997557.9976","16824859654.097","17057821390.1929","17884116630.1717","19270669885.3349","",
"Belarus","BLR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15400000000","12000000000","11296296296.2963","12165289256.1983","11931017119.8389","11127569458.8311","11887538461.5385","10932830072.4079","11829236038.8484","9485854108.58621","9729573623.8936","9782194244.60431","11751367950.8654","13996538274.0127","17203101851.8519","21983008356.546","26120372960.373","31845526561.0438","41612172284.6442","36786788399.5704","41009331990.6009","38384864321.608","40474055415.6171","48856159909.9099","52475401017.2144","38275806856.7123","33483614796.9441","38368162293.6397","41480270906.9493","",
"Belize","BLZ","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","127076317.507798","135460401.797979","134224977.096547","133567177.406522","131731689.890706","141428047.263465","139697336.323512","163972665.392707","186922108.570174","214357928.229519","222123563.672886","251750000","439903400","465309650","500901950","534253350","569188450","592298550","632322950","666186550","723881750","795657250","866070250","913722600","943531800","962805900","979338300","1049437300","1102373700","1152896600","1203577850","1275068950","1319053500","1381956900","1431108500","1495839900","1619716350","1599662900","","",
"Bermuda","BMU","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4083358000","4051877000","3940302000","3906029000","3883749000","","","","","","",
"Bolivia","BOL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","346416467.720663","389322025.409439","418037028.998815","447753718.759912","472378503.814755","533417508.417508","595454545.454545","674326599.326599","739898989.89899","795791245.791246","848063973.063973","944023569.023569","1040917638.20985","1012793603.1984","1615592203.89805","2002048975.51224","2268315842.07896","2701799100.44978","3112493753.12344","3642744065.91091","3670473083.19739","4934747145.1876","4729076955.97276","4472650347.53702","5089431775.78438","4534582947.94207","3596083165.10229","3950277635.83717","4155811321.39696","4200555043.69019","4313523710.46286","4804058258.39245","5210159979.48981","5318443412.81564","5452684125.09469","6002812115.90942","6543011074.76451","7023453552.32857","7586377561.20578","7591996593.48978","7634106088.78467","7410028001.02923","7098072384.93724","7074841106.12074","7384244329.6371","7858130447.18017","8832722427.48015","10139794935.806","12589309920.8378","13908505413.1054","14959204611.8546","17848012253.1354","19756346743.8495","22696563386.3965","25619724167.8726","28352112445.7308","29314157018.8133","31760847033.2851","34057574819.1027","",
